DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. 1º Sintomas(s) e UF de notificação
Período:2020
"Semana epidem. 1º Sintomas(s)";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Semana 14";151;41;100;4;88;2;51;77;43;735;81;62;310;37;12;2700;3829;68;129;8107;14373;656;508;2072;1077;2229;2330;39872
"Semana 15";156;42;105;1;95;4;56;69;57;903;100;95;325;47;8;3704;4331;28;110;7537;12602;941;527;1641;1033;2480;3199;40196
"Semana 16";128;54;100;2;90;2;64;86;94;1108;124;123;565;95;13;4827;4645;14;108;7493;10218;1010;325;1438;1128;2422;3194;39470
"Semana 17";105;50;65;4;85;7;68;70;111;1214;177;183;625;82;19;4782;4510;7;94;6407;7821;1028;306;1228;1070;2347;2927;35392
"Semana 18";118;101;88;-;100;1;50;46;109;1120;215;171;650;90;33;4731;3733;-;88;5856;6499;1007;253;1230;1114;2021;3188;32612
"Semana 19";151;129;80;-;111;-;49;42;101;1037;221;176;713;93;38;5160;3329;-;82;5245;5844;1069;229;971;988;1944;2762;30564
"Semana 20";127;174;83;2;68;-;46;29;139;835;239;215;1006;80;30;4977;3028;-;67;4129;4011;853;133;723;1021;1786;2264;26065
"Semana 21";112;155;96;2;81;-;35;37;128;815;225;221;854;81;44;4399;2416;-;61;2634;2623;796;103;540;961;1596;1945;20960
"Semana 22";87;126;80;-;66;-;40;20;109;712;241;241;724;74;64;4308;1728;-;40;1988;1744;657;49;417;783;1330;1670;17298
"Semana 23";72;112;79;-;39;-;33;22;82;768;250;214;728;82;92;3999;1543;-;28;1631;1089;421;31;305;665;1410;1286;14981
"Semana 24";60;83;76;1;27;-;40;25;64;649;255;166;683;90;112;3263;1246;-;41;1605;946;293;20;358;641;1378;1033;13155
"Semana 25";70;63;110;3;42;-;37;22;45;769;316;183;730;90;81;2872;1071;-;31;1560;1099;328;24;348;638;1372;825;12729
"Semana 26";67;47;54;2;31;-;36;16;61;733;243;163;706;84;88;2055;847;-;27;1152;713;248;18;301;431;1290;625;10038
"Semana 27";70;47;75;2;24;-;35;12;39;684;300;215;804;87;112;2047;825;-;30;846;525;155;10;234;378;1325;605;9486
"Semana 28";43;33;51;4;13;1;23;14;35;603;244;222;787;116;112;1628;687;-;23;832;481;93;7;214;314;970;507;8057
"Semana 29";42;41;36;5;23;-;38;18;40;577;191;207;688;86;86;1320;545;-;33;746;391;41;4;218;262;653;488;6779
"Semana 30";42;39;39;-;21;1;19;13;28;498;145;204;641;58;106;1011;480;-;40;582;353;28;8;210;262;539;340;5707
"Semana 31";30;35;38;2;17;-;29;6;36;427;136;163;588;42;78;736;418;-;27;555;283;19;10;156;178;534;259;4802
"Semana 32";30;28;27;3;20;-;16;4;26;412;115;144;519;62;80;550;340;-;22;438;198;13;6;112;136;449;201;3951
"Semana 33";24;32;43;2;20;-;13;14;22;361;89;151;524;51;68;472;396;-;21;435;148;9;2;136;141;481;213;3868
"Semana 34";19;16;45;3;21;-;18;11;25;298;90;118;456;38;62;393;325;2;22;318;104;12;7;99;113;347;197;3159
"Semana 35";15;22;50;6;26;-;9;10;18;231;40;114;411;20;48;353;309;-;19;322;132;14;2;145;86;259;183;2844
"Semana 36";13;28;36;3;16;1;11;9;11;195;67;111;375;28;46;330;313;-;22;350;130;4;1;97;108;277;209;2791
"Semana 37";10;22;40;-;16;-;9;7;14;161;55;74;331;29;32;250;343;-;14;372;170;9;8;152;87;285;203;2693
"Semana 38";7;29;40;3;12;-;14;8;17;160;58;87;370;25;40;260;363;-;26;345;168;15;7;124;79;235;167;2659
"Semana 39";15;31;70;2;17;-;9;10;17;130;43;68;350;28;30;220;333;-;27;386;163;9;8;102;75;225;144;2512
"Semana 40";11;31;63;4;14;-;11;11;9;110;51;83;255;22;47;220;329;-;27;359;202;12;6;116;60;245;177;2475
"Semana 41";5;29;81;1;10;-;7;11;4;106;37;96;286;18;29;221;305;-;23;334;233;4;6;90;65;223;153;2377
"Semana 42";14;39;76;1;13;-;5;6;11;93;44;57;228;21;21;189;325;-;17;336;218;13;5;83;47;192;160;2214
"Semana 43";8;53;100;-;17;-;8;3;7;99;35;61;270;21;16;212;322;-;29;392;251;21;8;64;57;189;131;2374
"Semana 44";11;62;98;1;17;-;10;5;9;75;23;55;211;17;9;193;280;1;23;290;206;11;6;71;51;208;137;2080
"Semana 45";17;88;79;2;29;-;7;10;7;88;27;63;231;20;12;166;389;-;28;349;274;9;13;125;76;334;180;2623
"Semana 46";14;146;78;1;23;-;16;1;6;88;39;50;192;14;9;178;463;-;49;435;385;17;10;156;83;257;148;2858
"Semana 47";24;238;100;1;33;-;32;9;12;103;52;81;174;15;16;202;594;1;25;458;660;15;9;261;104;276;163;3658
"Semana 48";43;262;128;2;35;-;38;10;4;75;41;55;137;9;11;234;625;-;24;536;723;30;8;184;97;287;171;3769
"Semana 49";56;392;126;2;44;-;46;6;11;88;63;59;130;24;18;204;721;6;48;579;731;33;6;239;139;304;240;4315
"Semana 50";63;350;178;1;36;-;35;1;16;80;55;65;154;16;16;202;663;6;44;736;855;23;12;219;146;289;197;4458
"Semana 51";40;399;193;4;21;1;42;7;14;67;38;74;121;19;11;171;573;23;49;846;836;28;11;145;109;265;189;4296
"Semana 52";30;568;270;22;47;3;42;13;8;53;78;82;176;20;15;254;479;241;100;1678;1254;33;13;308;308;572;263;6930
"Semana 53";3;229;28;-;-;-;11;1;-;15;39;9;33;2;-;41;133;-;3;287;371;8;5;43;40;57;76;1434
"Total";3948;8274;6320;584;3753;41;2290;2570;2221;23755;7203;6738;21592;2454;1907;83468;85453;7573;4550;211655;267061;12021;4025;52958;34965;60062;51498;968939
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
