DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. 1º Sintomas(s) e UF de notificação
Período:2016
"Semana epidem. 1º Sintomas(s)";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"IG";"Total"
"Semana 33";7;13;51;8;75;38;26;42;34;644;124;61;226;119;38;148;191;82;131;125;26;3;1;28;81;389;25;-;2736
"Semana 34";4;8;50;10;67;18;14;35;39;526;142;53;197;102;38;151;161;74;96;138;29;3;2;23;51;350;16;-;2397
"Semana 35";6;15;24;7;63;15;19;29;27;324;111;46;167;104;34;138;145;83;94;124;29;4;5;18;36;376;21;-;2064
"Semana 36";15;10;37;4;61;16;12;35;15;310;100;29;142;104;19;148;169;75;90;128;20;5;-;20;60;317;19;-;1960
"Semana 37";8;7;35;7;82;23;19;30;18;309;81;31;150;67;34;149;195;102;120;137;40;3;1;23;59;371;23;-;2124
"Semana 38";9;8;52;3;53;33;14;17;21;317;78;25;135;101;31;129;159;64;108;133;32;1;-;27;92;424;19;-;2085
"Semana 39";12;7;40;2;50;38;15;8;20;274;57;18;120;73;21;117;163;48;74;157;45;4;6;25;72;399;27;-;1892
"Semana 40";5;9;41;3;63;28;18;8;26;282;54;10;154;44;32;154;132;66;83;142;46;2;8;26;83;409;18;-;1946
"Semana 41";14;14;34;6;90;21;15;13;24;242;57;17;118;54;15;136;174;82;82;204;66;4;2;26;66;501;11;-;2088
"Semana 42";15;10;49;4;55;13;14;39;23;230;41;22;122;52;31;195;224;108;115;249;68;7;6;39;66;535;24;-;2356
"Semana 43";19;11;38;2;57;7;27;24;12;218;52;32;126;45;39;235;223;56;136;200;57;8;5;20;87;530;17;-;2283
"Semana 44";27;14;44;2;65;9;32;30;16;298;43;26;160;49;27;172;257;83;119;243;88;7;1;24;103;517;31;-;2487
"Semana 45";24;18;41;3;55;12;29;50;12;374;47;19;133;41;34;203;226;104;139;291;74;7;7;29;118;565;19;-;2674
"Semana 46";49;14;55;5;85;8;38;38;17;466;64;19;136;63;27;166;315;134;168;280;65;6;9;33;176;624;25;-;3085
"Semana 47";77;19;49;-;63;9;43;48;20;434;53;22;167;36;18;197;352;163;219;267;107;9;5;29;156;714;31;-;3307
"Semana 48";145;17;53;-;67;8;51;35;20;439;79;18;223;207;14;263;401;274;305;308;82;6;7;51;216;772;37;-;4098
"Semana 49";131;24;55;1;101;4;46;103;16;297;68;23;237;361;35;267;506;235;383;317;85;9;16;61;218;809;54;-;4462
"Semana 50";141;24;50;2;119;6;45;65;21;231;60;14;359;342;37;274;517;243;379;361;93;9;15;68;243;878;95;-;4691
"Semana 51";104;23;53;5;126;13;35;95;26;170;91;45;619;206;32;519;892;422;734;723;127;12;12;159;324;914;95;-;6576
"Semana 52";158;30;47;1;157;10;198;92;36;157;187;234;1598;317;32;969;4149;1399;1838;3049;516;39;24;1278;787;1958;213;-;19473
"Semana 53";1;-;-;-;-;-;-;2;1;2;2;1;11;4;-;4;38;4;5;5;2;-;-;6;5;15;2;-;110
"Total";7909;2250;7506;210;10871;1829;7968;23864;5298;49745;57045;35769;62594;19330;3607;67794;529022;43106;88127;202755;62837;5149;3197;46746;21288;129453;19591;13;1514873
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
