DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. 1º Sintomas(s) e UF de notificação
Período:2015
"Semana epidem. 1º Sintomas(s)";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Semana 17";58;70;92;29;222;71;301;293;434;3043;1068;993;4798;700;112;1936;17596;874;3973;39183;2999;227;109;1409;771;8727;759;90847
"Semana 18";54;54;87;15;245;77;312;261;418;3698;873;1384;4578;885;146;2325;15866;984;3875;29238;2245;209;108;1096;872;8987;841;79733
"Semana 19";45;44;75;28;222;90;254;218;405;4387;725;1418;3566;857;110;2043;13398;1020;3861;19858;1403;146;45;756;879;8254;609;64716
"Semana 20";39;50;87;20;204;52;293;176;391;4299;583;1435;2967;830;79;1744;9872;919;3154;13651;1053;116;36;586;753;7262;562;51213
"Semana 21";32;39;64;18;159;48;229;153;233;3624;440;1214;2160;780;86;1772;6671;935;2546;9459;960;76;30;521;720;6088;445;39502
"Semana 22";36;48;101;24;157;48;165;135;196;3245;317;1056;1843;675;48;1437;4875;813;2274;6827;772;48;13;408;506;4699;427;31193
"Semana 23";31;29;71;47;142;51;211;125;183;3055;251;731;1721;717;34;1273;4395;961;1987;4895;586;36;17;374;505;4416;376;27220
"Semana 24";28;51;35;41;147;38;190;102;135;2963;193;514;1297;704;33;1140;3296;861;1759;3910;460;24;10;334;520;3745;319;22849
"Semana 25";25;28;31;24;104;32;146;61;76;2332;142;469;930;673;23;834;2086;682;1202;2408;228;18;6;199;365;2496;205;15825
"Semana 26";24;19;40;20;99;49;118;66;75;1885;149;475;768;639;32;943;1304;758;1011;1484;176;10;5;126;335;1775;104;12489
"Semana 27";18;22;39;27;98;32;94;59;70;1586;108;480;730;611;35;1114;1038;725;919;833;116;7;1;107;291;1158;71;10389
"Semana 28";18;15;54;43;96;31;95;38;39;1248;96;470;613;568;23;1179;736;604;823;864;87;7;2;85;205;1023;80;9142
"Semana 29";8;13;71;43;99;28;76;55;47;1052;91;382;518;502;32;1000;634;624;798;946;122;10;4;115;223;1033;83;8609
"Semana 30";10;9;41;41;112;37;84;30;39;930;113;260;461;433;28;971;454;635;701;668;104;4;4;96;195;798;43;7301
"Semana 31";16;11;48;42;130;35;75;47;29;887;80;233;511;354;31;815;368;683;693;539;91;4;3;99;192;677;39;6732
"Semana 32";10;12;39;41;141;33;73;37;49;820;67;187;583;329;171;702;315;653;656;586;109;2;4;81;268;609;35;6612
"Semana 33";18;14;36;42;122;33;58;41;30;690;64;170;521;346;206;587;281;519;493;472;75;7;10;82;259;555;45;5776
"Semana 34";9;10;39;41;110;34;42;33;27;531;45;133;528;323;179;541;224;549;439;390;63;5;3;95;185;451;24;5053
"Semana 35";12;7;30;39;105;37;50;29;17;465;40;104;912;407;174;552;225;491;390;314;54;4;4;88;197;389;26;5162
"Semana 36";19;19;50;34;145;35;21;37;30;399;53;107;849;369;310;575;207;562;369;329;53;1;2;95;186;429;26;5311
"Semana 37";11;14;49;34;98;22;32;35;22;328;46;98;907;352;350;523;289;694;334;391;49;7;4;88;165;431;24;5397
"Semana 38";22;13;30;25;107;20;46;50;14;260;55;95;747;395;431;448;265;587;367;415;70;7;3;106;179;416;12;5185
"Semana 39";26;12;52;9;103;24;36;35;22;242;48;55;1030;444;302;445;263;660;367;443;76;-;3;128;197;430;40;5492
"Semana 40";33;12;46;17;103;32;36;35;22;174;71;61;1027;447;262;404;287;848;345;437;58;5;1;115;174;443;37;5532
"Semana 41";32;22;31;5;102;17;43;32;23;152;46;45;991;510;222;387;296;749;342;492;81;4;1;144;219;593;22;5603
"Semana 42";30;16;21;9;91;14;53;68;19;127;75;48;1266;687;260;357;356;874;386;503;73;-;5;202;232;571;22;6365
"Semana 43";43;18;27;4;70;23;35;48;25;109;51;50;1739;691;228;352;395;880;348;527;75;7;3;280;225;572;22;6847
"Semana 44";36;12;30;4;102;24;61;65;10;116;62;70;2963;753;300;460;525;931;502;671;122;10;-;356;268;772;21;9246
"Semana 45";45;18;26;2;109;42;76;41;24;138;64;76;3597;1194;487;562;704;955;643;844;151;7;6;551;342;880;52;11636
"Semana 46";58;20;34;2;84;25;102;58;21;147;105;152;4196;1279;432;545;1013;889;749;1018;223;10;4;706;429;1007;39;13347
"Semana 47";62;17;28;4;154;7;120;85;31;142;99;236;3538;818;592;719;1327;1118;968;1276;279;10;10;1000;675;1017;50;14382
"Semana 48";94;33;49;3;180;22;200;163;36;177;159;474;4588;692;436;1031;1802;1299;1341;1542;317;15;10;1512;1036;1443;69;18723
"Semana 49";77;52;68;14;232;20;227;150;30;189;184;834;4462;543;288;1225;2533;1736;1784;2027;442;21;13;1585;1057;1688;89;21570
"Semana 50";105;36;88;6;170;16;209;109;26;178;185;746;3951;412;150;1018;2980;1641;2047;2387;586;10;21;1722;745;1702;109;21355
"Semana 51";104;25;95;3;92;16;189;54;25;108;174;818;2421;324;66;651;3310;1282;1602;2472;571;26;13;1562;517;1667;106;18293
"Semana 52";90;31;34;1;43;20;107;44;14;66;139;771;1188;322;65;329;2557;730;1024;2010;428;21;11;1088;320;992;49;12494
"Semana 53";18;280;56;7;36;42;22;58;17;180;94;26;220;55;54;76;257;93;154;2096;58;2;4;44;61;926;63;4999
"Total";2250;5889;3661;1108;7855;3394;8017;7982;7738;63558;22958;23498;111747;27403;9262;55592;193440;35610;73959;749943;45969;4536;1722;32362;21585;169034;10252;1700324
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
