DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. 1º Sintomas(s) e UF de notificação
Período:2017
"Semana epidem. 1º Sintomas(s)";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Semana 14";42;44;150;6;178;30;207;219;181;2960;263;74;153;64;18;322;946;212;316;237;34;4;3;66;346;2421;156;9652
"Semana 15";47;45;156;9;128;30;204;231;210;3368;244;85;140;48;18;274;822;176;282;228;45;2;1;47;331;2305;157;9633
"Semana 16";27;27;102;10;95;20;226;251;238;2960;240;79;280;86;23;262;911;201;364;236;36;5;3;41;269;2579;148;9719
"Semana 17";22;14;84;8;78;21;175;213;233;2807;187;81;203;114;16;217;767;172;351;162;26;9;3;32;244;2662;160;9061
"Semana 18";29;30;85;12;132;28;210;224;245;1863;201;69;255;79;22;203;821;213;326;175;35;4;4;35;189;3093;195;8777
"Semana 19";20;21;52;12;116;23;188;228;307;1767;205;72;278;131;20;238;684;204;260;147;32;4;2;34;231;2968;191;8435
"Semana 20";21;18;66;8;104;20;187;222;419;1531;142;95;328;125;20;205;595;139;268;143;31;2;1;34;226;2722;207;7879
"Semana 21";13;21;60;15;62;35;171;128;364;1098;101;84;243;80;10;195;533;146;188;120;31;3;4;33;175;2471;245;6629
"Semana 22";20;23;48;11;55;17;119;134;244;999;150;99;254;142;13;182;533;158;255;144;19;4;1;26;175;2589;236;6650
"Semana 23";13;18;48;13;58;15;106;138;221;831;150;76;340;146;18;152;408;121;237;88;23;2;-;21;130;2072;192;5637
"Semana 24";17;15;48;10;45;6;68;113;228;575;180;84;304;155;10;135;312;86;156;93;25;1;1;21;114;1599;173;4574
"Semana 25";19;4;54;6;60;7;63;116;190;468;146;88;233;79;8;136;297;127;174;80;12;4;-;29;105;1460;123;4088
"Semana 26";9;14;39;12;60;5;51;73;133;458;100;82;185;99;8;140;242;97;153;90;17;1;1;20;117;1160;117;3483
"Semana 27";12;17;44;6;55;-;32;59;154;406;102;67;181;69;3;151;147;55;155;66;19;1;-;15;70;757;58;2701
"Semana 28";6;17;44;10;44;5;28;72;125;292;97;72;208;69;10;145;136;49;133;78;12;1;3;19;74;662;33;2444
"Semana 29";11;10;43;10;44;8;30;73;91;218;132;87;148;71;10;89;138;62;108;65;10;-;2;7;59;515;32;2073
"Semana 30";12;12;62;7;44;5;31;39;66;261;98;93;129;54;2;91;109;68;100;55;10;4;2;20;71;401;24;1870
"Semana 31";10;11;42;7;49;11;45;72;68;182;127;112;191;60;10;91;109;85;94;67;22;-;2;19;60;427;19;1992
"Semana 32";12;10;67;2;54;5;22;64;53;172;172;95;160;55;8;112;112;55;79;87;17;2;-;20;70;394;26;1925
"Semana 33";12;10;53;8;54;4;27;43;40;144;159;133;137;43;10;100;124;56;82;75;17;-;-;15;83;381;41;1851
"Semana 34";11;11;49;3;58;2;13;54;64;104;142;93;156;54;5;90;111;50;73;101;27;1;-;16;66;351;25;1730
"Semana 35";10;11;67;1;29;2;15;39;64;86;122;77;134;36;8;97;105;52;75;118;27;2;2;19;49;377;21;1645
"Semana 36";13;6;68;4;33;4;11;39;41;92;116;57;120;50;18;56;117;31;69;113;35;1;-;19;44;291;28;1476
"Semana 37";12;16;79;5;35;4;20;38;28;103;132;95;118;32;11;64;139;52;70;154;53;4;3;31;44;388;38;1768
"Semana 38";12;4;53;3;34;9;16;22;23;80;130;76;92;36;15;78;119;51;92;202;55;1;3;37;48;383;24;1698
"Semana 39";10;11;62;-;50;10;11;25;17;65;72;67;114;33;10;83;117;42;74;193;44;3;1;24;47;373;25;1583
"Semana 40";11;21;48;3;37;6;21;24;20;68;94;71;95;30;16;77;153;48;110;223;36;2;3;24;53;417;28;1739
"Semana 41";7;25;31;4;52;9;14;17;20;66;88;80;95;38;10;61;134;51;102;232;38;5;2;34;47;456;32;1750
"Semana 42";7;38;25;3;48;5;22;25;17;68;111;72;96;30;5;100;176;48;111;221;51;2;5;46;84;600;22;2038
"Semana 43";10;23;17;-;47;4;27;22;11;49;94;43;94;30;6;81;145;52;93;215;34;4;3;38;56;425;25;1648
"Semana 44";12;32;25;2;41;7;19;26;14;74;109;90;70;25;10;69;151;38;82;209;31;3;4;62;57;343;25;1630
"Semana 45";12;41;39;3;55;7;15;44;15;80;131;64;85;38;10;61;132;51;109;233;46;3;2;63;74;484;38;1935
"Semana 46";27;55;25;1;43;1;23;31;13;70;90;70;76;30;10;80;164;40;133;228;50;4;2;77;77;534;37;1991
"Semana 47";25;66;42;1;34;3;30;25;14;82;79;56;76;33;6;71;172;52;116;200;49;3;3;66;86;455;29;1874
"Semana 48";18;71;39;1;47;9;37;22;14;61;74;50;93;43;7;90;194;61;137;246;54;4;5;101;102;407;22;2009
"Semana 49";26;100;34;2;41;6;23;24;25;72;91;45;97;33;3;91;225;74;169;236;55;2;6;72;132;477;34;2195
"Semana 50";24;87;29;1;54;6;27;30;27;73;103;59;112;23;4;91;303;99;163;227;52;4;2;103;92;457;44;2296
"Semana 51";33;72;29;2;37;7;26;40;30;88;50;35;83;9;3;110;301;85;143;195;42;7;9;75;159;435;42;2147
"Semana 52";66;52;47;2;55;8;39;56;17;138;87;16;69;18;5;212;379;136;198;206;44;5;9;38;219;537;41;2699
"Semana 53";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"Total";2194;1884;3899;284;7826;937;4956;7192;5300;39439;7484;3841;7926;2928;622;10098;26466;6889;11001;9459;2227;191;183;2314;9391;64068;4249;243248
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
